location,zh_cn,en
site/app/components/code-block.html,复制,Copy
site/app/components/code-block.js,代码已复制！,Code copied!
site/app/components/code-example.html,显示示例,View demo
site/app/components/code-example.html,显示 javascript 代码,Show javascript code
site/app/components/code-example.html,显示 html 代码,Show html code
site/app/components/code-example.html,显示 scss 代码,Show scss code
site/app/layout/footer.html,关于,About
site/app/layout/footer.html,许可证,License
site/app/layout/header.js,默认蓝,Default
site/app/layout/header.js,暗夜蓝,Default-Dark
site/app/layout/header.js,炫酷紫,Purple
site/app/layout/header.js,暗夜紫,Purple-Dark
site/app/layout/nav-content.js,首页,Home
site/app/layout/nav-content.js,快速上手,Getting Started
site/app/layout/nav-content.js,主题,Theme
site/app/layout/nav-content.js,路由整合,Router
site/app/layout/nav-content.js,国际化,I18N
site/app/layout/nav-content.js,UI 规范,UI
site/app/layout/nav-content.js,阴影|Elevation,Elevation
site/app/layout/nav-content.js,布局|Layout,Layout
site/app/layout/nav-content.js,版式|Typography,Typography
site/app/layout/nav-content.js,状态|States,States
site/app/layout/nav-content.js,组件,Components
site/app/layout/nav-content.js,头像|Avatar,Avatar
site/app/layout/nav-content.js,徽章|Badge,Badge
site/app/layout/nav-content.js,底栏|Bottom Bar,Bottom Bar
site/app/layout/nav-content.js,按钮|Button,Button
site/app/layout/nav-content.js,卡片|Card,Card
site/app/layout/nav-content.js,内容|Content,Content
site/app/layout/nav-content.js,日期选择|Datepicker,Datepicker
site/app/layout/nav-content.js,对话框|Dialog,Dialog
site/app/layout/nav-content.js,分隔线|Divider,Divider
site/app/layout/nav-content.js,抽屉|Drawer,Drawer
site/app/layout/nav-content.js,空提示|Empty State,Empty State
site/app/layout/nav-content.js,表单|Forms,Forms
site/app/layout/nav-content.js,自动补全|Autocomplete,Autocomplete
site/app/layout/nav-content.js,多选框|Checkbox,Checkbox
site/app/layout/nav-content.js,纸片|Chips,Chips
site/app/layout/nav-content.js,文件选择|File,File
site/app/layout/nav-content.js,文本框|Input & Textarea,Input & Textarea
site/app/layout/nav-content.js,单选项|Radio,Radio
site/app/layout/nav-content.js,下拉选择|Select,Select
site/app/layout/nav-content.js,切换|Switch,Switch
site/app/layout/nav-content.js,文本高亮|Highlight,Highlight
site/app/layout/nav-content.js,图标|Icon,Icon
site/app/layout/nav-content.js,列表|List,List
site/app/layout/nav-content.js,菜单|Menu,Menu
site/app/layout/nav-content.js,分页|Pagination,Pagination
site/app/layout/nav-content.js,气泡确认框|Popconfirm,Popconfirm
site/app/layout/nav-content.js,气泡卡片|Popover,Popover
site/app/layout/nav-content.js,进度条|Progress,Progress
site/app/layout/nav-content.js,消息提示|Snackbar,Snackbar
site/app/layout/nav-content.js,正在加载|Spinner,Spinner
site/app/layout/nav-content.js,步骤条|Steppers,Steppers
site/app/layout/nav-content.js,子标题|Subheader,Subheader
site/app/layout/nav-content.js,表格|Table,Table
site/app/layout/nav-content.js,标签页|Tabs,Tabs
site/app/layout/nav-content.js,工具栏|Toolbar,Toolbar
site/app/layout/nav-content.js,工具提示|Tooltip,Tooltip
site/app/layout/nav-content.js,关于,Abount
site/app/layout/nav-content.js,许可证,License
site/app/pages/about.html,构建在 Jinge 框架上的 Material Design 组件库,Material Desgin components built on jinge framework
site/app/pages/about.html,作者,Author
site/app/pages/about.html,项目介绍,Introduction
site/app/pages/about.html,"<p>在长期的业务项目研发中，我探索并开发了一个和主流 mvvm 框架的核心都不同的 <a target=""_blank"" href=""https://github.com/YuhangGe/jinge"">Jinge</a> 框架。为了验证这个框架的能力，我决定在这个框架上开发一个 UI 组件库。</p><p>考虑到主要是为了快速验证 Jinge 框架的能力，并在组件库开发的过程中同步地不断完善这个框架，而不想在组件本身的开发上耗费过多精力，我决定直接从 <a target=""_blank"" href=""https://vuematerial.io"">Vue Material</a> 这个项目分叉（Fork）。</p><p>但由于 Jinge 框架和 Vue 框架除了在功能和使用方式上都保持了现代 mvvm 框架的一致性外，核心几乎完全不同，因此从 Vue Material 项目分叉后，会需要把整个项目除了 scss 样式之外的代码几乎全部重写。因此我并没有采用在 Github 平台上直接分叉（Fork）该项目的方式，而是另起炉灶新开了 Jinge Material 仓库。所以更准确的说法是，Jinge Materail 项目移植（Port）自 Vue Material 项目。</p><p>Jinge Material 在移植自 Vue Material 项目的过程中，同时也参考 <a href=""https://ant.design"" target=""_blank"">Ant Design</a> 和 <a href=""https://element.eleme.cn/"" target=""_blank"">Element</a> 等现代组件库，对项目的目录结构和各别组件的设计进行了重构。</p>","<p>In the long-term business project development, I explored and developed a mvvm framework named <a target=""_blank"" href=""https://github.com/YuhangGe/jinge"">jinge</a> which is different from other frameworks. To verify the capabilities of jinge mvvm framework, I decided to develop a UI library named jinge-material with jinge mvvm framework. </p><p>Considering that jinge-material is mainly to verify the capabilities of the jinge mvvm framework and to continuously improve the jinge mvvm framework, I don't want to spend too much effort on developing components. So I decided to fork directly from the <a target=""_blank"" href=""https://vuematerial.io"">vue-material</a> project.</p><p>But since the cores of jinge framework and the vue framework are almost completely different, I need to rewrite almost all of the code except the scss style for the entire project. So I didn't fork the project directly on github, but instead created a new project. So more accurately, jinge-material is ported from the vue-material. </p><p>In the process of porting from the Vue Material project, Jinge Material also referenced modern component libraries such as <a href=""https://ant.design"" target=""_blank"">Ant Design</a> and <a href=""https://element.eleme.cn/"" target=""_blank"">Element</a> to refactor the project's directory structure and the design of individual components.</p>"
site/app/pages/about.html,关于,About
site/app/pages/advance/i18n.html,国际化,I18N
site/app/pages/advance/i18n.html,jinge 框架还处于实验性的 alpha 阶段，也还几乎没有文档。此处的 Jinge Material 组件库的文档也不保证有效。,The jinge framework is still experimental and there is almost no documentation. The documentation for the Jinge Material component library here is also not guaranteed to be valid.
site/app/pages/advance/i18n.html,Jinge Material 组件库没有直接依赖 jinge 框架内置的国际化方案，而是自己实现了一套国际化方案。因为使用 Jinge Material 组件的项目不一定需要支持多语言。接下来会分不同的情况，介绍如何使用不同语言的 Jinge Material 组件。,"The Jinge Material component library does not directly rely on the internationalization scheme built into the jinge framework, but implements a set of internationalization schemes by itself. Because projects using Jinge Material components do not necessarily need to support multiple languages. Next, I will introduce how to use Jinge Material components in different languages in different situations."
site/app/pages/advance/i18n.html,使用 npm 或 yarn 包,Use npm or yarn packages
site/app/pages/advance/i18n.html,项目只使用一种语言,Project uses only one language
site/app/pages/advance/i18n.html,如果只需要支持一种语言，只需要在项目的入口文件里，加入以下的代码：,"If you only need to support one language, just add the following code to the project's entry file:"
site/app/pages/advance/i18n.html,Jinge Material 组件库没有默认的语言，因此必须指定语言并引入语言资源。,"The Jinge Material component library does not have a default language, so you must specify a language and import language resources."
site/app/pages/advance/i18n.html,项目使用多种语言,Project uses multiple languages
